Game#,Game Date,Seq,Opp,Lg,Result,Astros Score,Opposing Score,Starting Pitcher,Th,Opposing Pitcher,S-G,S-GS,WL,W-L,QS,CG,SHO,IP,H,R,ER,HR,BB,SO,WP,BK,HB,IBB,GB,FB,ERA,WHIP,Pit,Str,Bal,Fou,Cal,Sw,InPlay,C-G,C-GS,W-L Career
19,4/18/18,-,SEA,AL,W,7,1,Gerrit Cole,R,Mike Leake,4,4,W,Feb-00,Y,-,-,7,5,1,-,-,2,5,-,-,-,-,9,10,0.96,0.75,94,59,35,15,17,8,19,131,131,61-42
20,4/19/18,-,SEA,AL,W,9,2,Charlie Morton,R,Marco Gonzales,4,4,W,Mar-00,Y,-,-,7,3,-,-,-,-,8,-,-,-,-,10,6,0.72,0.88,84,57,27,16,14,11,16,191,190,63-78
21,4/20/18,-,CHA,AL,W,10,0,Justin Verlander,R,James Shields,5,5,W,Mar-00,Y,-,-,6,2,-,-,-,3,5,-,-,-,-,6,8,1.1,0.77,96,62,34,15,18,15,14,390,390,191-114
22,4/21/18,-,CHA,AL,W,10,1,Dallas Keuchel,L,Lucas Giolito,5,5,W,3-Jan,Y,-,-,6,4,1,1,1,2,6,1,-,-,-,7,9,3.1,1.38,94,57,37,17,15,9,16,163,154,65-55
23,4/22/18,-,CHA,AL,W,7,1,Lance McCullers,R,Reynaldo Lopez,5,5,W,1-Mar,Y,-,-,6,8,1,1,-,1,3,-,-,2,-,12,8,4.67,1.44,96,60,36,13,16,11,20,63,63,22-17
24,4/23/18,-,ANA,AL,L,0,2,Gerrit Cole,R,Tyler Skaggs,5,5,L,1-Feb,Y,-,-,7,4,2,2,-,2,8,1,-,-,-,6,10,1.29,0.77,109,74,35,21,23,14,16,132,132,61-43
25,4/24/18,-,ANA,AL,L,7,8,Charlie Morton,R,Shohei Ohtani,5,5,---,Mar-00,-,-,-,4,5,4,4,2,5,2,-,-,-,-,7,6,1.86,1.1,75,44,31,8,19,4,13,192,191,63-78
26,4/25/18,-,ANA,AL,W,5,2,Justin Verlander,R,Nick Tropeano,6,6,W,Apr-00,Y,-,-,7,4,2,2,1,-,9,-,-,-,-,5,11,1.36,0.73,97,71,26,22,19,14,16,391,391,192-114
27,4/27/18,-,OAK,AL,L,1,8,Dallas Keuchel,L,Sean Manaea,6,6,L,4-Jan,-,-,-,7,7,6,6,3,-,3,1,-,-,-,14,10,4,1.31,97,63,34,14,21,4,24,164,155,65-56
28,4/28/18,-,OAK,AL,W,11,0,Lance McCullers,R,Daniel Mengden,6,6,W,1-Apr,Y,-,-,7,2,-,-,-,-,7,-,-,-,-,8,7,3.71,1.21,100,65,35,18,17,15,15,64,64,23-17
29,4/29/18,-,OAK,AL,W,8,4,Gerrit Cole,R,Trevor Cahill,6,6,---,1-Feb,Y,-,-,6.2,6,3,3,-,-,12,-,-,1,-,4,9,1.73,0.79,99,72,27,17,20,22,13,133,133,61-43
30,4/30/18,-,NYA,AL,W,2,1,Charlie Morton,R,Sonny Gray,6,6,W,Apr-00,Y,-,-,7.2,2,1,1,-,2,10,-,-,-,-,9,5,1.72,0.98,101,66,35,19,20,13,14,193,192,64-78
31,5/1/18,-,NYA,AL,L,0,4,Justin Verlander,R,Jordan Montgomery,7,7,---,Apr-00,Y,-,-,8,3,-,-,-,-,14,-,-,1,-,4,10,1.13,0.67,102,72,30,17,21,21,13,392,392,192-114
32,5/2/18,-,NYA,AL,L,0,4,Dallas Keuchel,L,Luis Severino,7,7,L,5-Jan,Y,-,-,7,6,3,3,2,-,5,-,-,-,-,12,10,3.98,1.23,105,69,36,21,14,12,22,165,156,65-57
33,5/3/18,-,NYA,AL,L,5,6,Lance McCullers,R,Masahiro Tanaka,7,7,---,1-Apr,Y,-,-,7,5,3,3,-,3,5,-,-,1,-,13,7,3.73,1.2,103,67,36,20,13,14,20,65,65,23-17
34,5/4/18,-,ARI,NL,W,8,0,Gerrit Cole,R,Kris Medlen,7,7,W,1-Mar,Y,Y,Y,9,1,-,-,-,1,16,-,-,-,-,4,8,1.42,0.69,113,81,32,17,31,21,12,134,134,62-43
35,5/5/18,-,ARI,NL,L,3,4,Charlie Morton,R,Zack Greinke,7,7,---,Apr-00,-,-,-,5,3,3,3,1,4,3,-,-,1,-,7,7,2.16,1.03,81,42,39,10,14,4,14,194,193,64-78
36,5/6/18,-,ARI,NL,L,1,3,Justin Verlander,R,Matt Koch,8,8,L,1-Apr,Y,-,-,6,3,1,1,-,3,8,-,-,-,-,3,10,1.17,0.71,89,58,31,17,18,10,13,393,393,192-115
37,5/7/18,-,OAK,AL,W,16,2,Dallas Keuchel,L,Brett Anderson,8,8,W,5-Feb,Y,-,-,8,5,1,1,-,2,4,-,-,-,-,15,10,3.53,1.18,101,66,35,19,15,7,25,166,157,66-57
38,5/8/18,-,OAK,AL,W,4,2,Lance McCullers,R,Sean Manaea,8,8,W,1-May,-,-,-,5,5,2,2,-,4,3,2,-,-,-,9,6,3.72,1.26,88,51,37,15,11,10,15,66,66,24-17
39,5/9/18,-,OAK,AL,W,4,1,Gerrit Cole,R,Daniel Mengden,8,8,W,1-Apr,Y,-,-,6,4,1,1,-,3,9,-,-,-,-,2,10,1.43,0.74,100,63,37,20,15,16,12,135,135,63-43
40,5/11/18,-,TEX,AL,L,0,1,Justin Verlander,R,Cole Hamels,9,9,L,2-Apr,Y,-,-,6,3,1,1,-,2,7,-,-,-,-,5,9,1.21,0.72,99,69,30,22,23,10,14,394,394,192-116
41,5/12/18,-,TEX,AL,W,6,1,Charlie Morton,R,Doug Fister,8,8,W,May-00,Y,-,-,7,4,1,1,1,-,14,-,-,-,-,8,3,2.03,0.97,103,64,39,13,19,21,11,195,194,65-78
42,5/13/18,-,TEX,AL,W,6,1,Dallas Keuchel,L,Matt Moore,9,9,W,5-Mar,Y,-,-,7,3,-,-,-,1,8,-,-,-,-,8,8,3.1,1.1,102,66,36,15,22,13,16,167,158,67-57
43,5/14/18,-,ANA,AL,L,1,2,Lance McCullers,R,Andrew Heaney,9,9,L,2-May,Y,-,-,6,4,2,2,-,2,6,-,-,-,-,7,7,3.63,1.23,97,63,34,18,18,13,14,67,67,24-18
44,5/15/18,-,ANA,AL,W,5,3,Gerrit Cole,R,Jaime Barria,9,9,---,1-Apr,-,-,-,5,5,3,3,2,2,7,-,-,-,-,3,8,1.75,0.79,94,62,32,25,13,13,11,136,136,63-43
45,5/16/18,-,ANA,AL,W,2,0,Justin Verlander,R,Garrett Richards,10,10,W,2-May,Y,Y,Y,9,5,-,-,-,1,7,-,-,-,-,9,16,1.05,0.71,115,76,39,18,22,11,25,395,395,193-116
46,5/18/18,-,CLE,AL,W,4,1,Charlie Morton,R,Mike Clevinger,9,9,W,Jun-00,Y,-,-,7,4,1,1,1,1,8,-,-,-,-,8,9,1.94,0.93,96,66,30,21,19,9,17,196,195,66-78
47,5/19/18,-,CLE,AL,L,4,5,Dallas Keuchel,L,Corey Kluber,10,10,L,6-Mar,-,-,-,5,6,4,4,1,2,3,1,-,-,-,12,5,3.43,1.14,98,62,36,20,17,8,17,168,159,67-58
48,5/20/18,-,CLE,AL,W,3,1,Lance McCullers,R,Carlos Carrasco,10,10,W,2-Jun,Y,-,-,7,1,-,-,-,2,8,-,-,-,-,4,10,3.2,1.14,95,61,34,21,14,12,14,68,68,25-18
49,5/22/18,-,SFN,NL,W,11,2,Gerrit Cole,R,Andrew Suarez,10,10,W,1-May,Y,-,-,6,4,2,2,1,3,8,-,-,-,-,5,7,1.86,0.83,105,66,39,23,21,10,12,137,137,64-43
50,5/23/18,-,SFN,NL,W,4,1,Justin Verlander,R,Jeff Samardzija,11,11,W,2-Jun,Y,-,-,6,3,1,1,-,1,9,-,-,-,-,3,9,1.08,0.71,96,63,33,17,17,17,12,396,396,194-116
51,5/24/18,-,CLE,AL,W,8,2,Charlie Morton,R,Mike Clevinger,10,10,W,Jul-00,Y,-,-,6,5,2,2,-,3,5,-,-,-,-,9,7,2.04,0.97,92,59,33,18,16,9,16,197,196,67-78
52,5/25/18,-,CLE,AL,W,11,2,Dallas Keuchel,L,Corey Kluber,11,11,---,6-Mar,Y,-,-,6,8,2,2,-,1,5,-,-,-,-,12,9,3.39,1.17,103,64,39,15,18,10,21,169,160,67-58
53,5/26/18,-,CLE,AL,L,6,8,Lance McCullers,R,Carlos Carrasco,11,11,L,3-Jun,-,-,-,4.1,6,7,7,3,2,2,1,-,-,-,7,11,3.98,1.18,91,60,31,18,17,7,18,69,69,25-19
54,5/27/18,-,CLE,AL,L,9,10,Gerrit Cole,R,Trevor Bauer,11,11,---,1-May,Y,-,-,7,4,3,3,1,2,8,-,-,1,-,8,7,2.05,0.83,111,76,35,29,23,9,15,138,138,64-43
55,5/28/18,-,NYA,AL,W,5,1,Justin Verlander,R,Domingo German,12,12,W,2-Jul,Y,-,-,6.2,5,1,1,1,-,5,-,-,1,-,6,13,1.11,0.71,111,73,38,28,18,8,19,397,397,195-116
56,5/29/18,-,NYA,AL,L,5,6,Charlie Morton,R,CC Sabathia,11,11,---,Jul-00,Y,-,-,6,8,3,3,2,1,10,-,-,-,-,7,9,2.26,1.02,100,66,34,16,25,9,16,198,197,67-78
57,5/30/18,-,NYA,AL,L,3,5,Dallas Keuchel,L,Luis Severino,12,12,L,7-Mar,-,-,-,5,7,4,4,-,3,7,2,-,-,-,5,10,3.65,1.23,104,59,45,20,12,12,15,170,161,67-59
58,5/31/18,-,BOS,AL,W,4,2,Lance McCullers,R,Drew Pomeranz,12,12,W,3-Jul,Y,-,-,6,4,2,2,-,2,4,-,-,-,-,9,9,3.89,1.17,106,60,46,14,19,9,18,70,70,26-19
59,6/1/18,-,BOS,AL,W,7,3,Gerrit Cole,R,Chris Sale,12,12,W,1-Jun,Y,-,-,7,5,3,3,2,1,7,-,-,-,-,7,12,2.2,0.83,104,65,39,13,21,12,19,139,139,65-43
60,6/2/18,-,BOS,AL,L,4,5,Justin Verlander,R,David Price,13,13,---,2-Jul,Y,-,-,6,3,2,2,-,2,6,1,-,-,-,4,11,1.24,0.72,100,68,32,25,16,12,15,398,398,195-116
61,6/3/18,-,BOS,AL,L,3,9,Charlie Morton,R,Rick Porcello,12,12,L,1-Jul,-,-,-,5.1,9,6,6,2,1,7,-,-,1,-,6,11,2.84,1.08,98,61,37,17,17,10,17,199,198,67-79
62,6/5/18,-,SEA,AL,L,1,7,Dallas Keuchel,L,James Paxton,13,13,L,8-Mar,-,-,-,6.2,7,7,7,3,1,3,-,-,-,-,14,10,4.13,1.23,106,63,43,11,21,7,24,171,162,67-60
63,6/6/18,-,SEA,AL,W,7,5,Lance McCullers,R,Wade LeBlanc,13,13,---,3-Jul,Y,-,-,6,7,4,3,2,2,4,-,-,-,-,12,8,3.94,1.19,94,55,39,13,15,7,20,71,71,26-19
64,6/7/18,-,TEX,AL,W,5,2,Gerrit Cole,R,Cole Hamels,13,13,W,1-Jul,Y,-,-,6,3,1,1,-,3,8,-,-,-,-,5,8,2.16,0.84,101,68,33,23,21,11,13,140,140,66-43
65,6/8/18,-,TEX,AL,W,7,3,Justin Verlander,R,Doug Fister,14,14,W,2-Aug,Y,-,-,6,5,3,3,1,3,9,-,-,-,-,5,9,1.45,0.76,109,67,42,21,18,14,14,399,399,196-116
66,6/9/18,-,TEX,AL,W,4,3,Charlie Morton,R,Mike Minor,13,13,---,1-Jul,-,-,-,3.2,1,2,1,-,6,4,-,-,4,-,3,6,2.82,1.12,85,45,40,14,16,6,9,200,199,67-79
67,6/10/18,-,TEX,AL,W,8,7,Dallas Keuchel,L,Matt Moore,14,14,---,8-Mar,-,-,-,4.1,13,6,5,-,-,3,-,-,1,-,11,12,4.45,1.32,106,68,38,21,16,8,23,172,163,67-60
68,6/12/18,-,OAK,AL,W,6,3,Lance McCullers,R,Daniel Mengden,14,14,W,3-Aug,Y,-,-,7,5,2,2,-,3,5,1,-,-,-,10,10,3.83,1.19,97,59,38,11,15,13,20,72,72,27-19
69,6/13/18,-,OAK,AL,W,13,5,Gerrit Cole,R,Paul Blackburn,14,14,W,1-Aug,-,-,-,6,6,4,4,2,2,6,1,-,-,-,6,12,2.4,0.88,96,61,35,19,16,8,18,141,141,67-43
70,6/14/18,-,OAK,AL,W,7,3,Justin Verlander,R,Frankie Montas,15,15,W,2-Sep,Y,-,-,7,5,3,3,2,-,7,-,-,1,-,3,16,1.61,0.76,95,68,27,26,13,10,19,400,400,197-116
71,6/15/18,-,KCA,AL,W,7,3,Charlie Morton,R,Jake Junis,14,14,W,1-Aug,Y,-,-,6,4,3,3,-,4,9,-,-,-,-,7,5,2.94,1.14,97,64,33,16,20,16,12,201,200,68-79
72,6/16/18,-,KCA,AL,W,10,2,Dallas Keuchel,L,Danny Duffy,15,15,W,8-Apr,Y,-,-,6,6,2,-,-,1,5,-,-,-,-,14,5,4.15,1.31,100,64,36,19,16,10,19,173,164,68-60
73,6/17/18,-,KCA,AL,W,7,4,Lance McCullers,R,Brad Keller,15,15,---,3-Aug,Y,-,-,6,6,4,2,1,2,9,1,-,-,-,7,8,3.77,1.2,97,61,36,11,19,16,15,73,73,27-19
74,6/18/18,-,TBA,AL,W,5,4,Gerrit Cole,R,Ryne Stanek,15,15,---,1-Aug,-,-,-,7,3,4,4,1,5,8,-,-,-,-,8,7,2.59,0.89,114,72,42,24,18,15,15,142,142,67-43
75,6/19/18,-,TBA,AL,L,1,2,Justin Verlander,R,Blake Snell,16,16,---,2-Sep,Y,-,-,6.2,6,1,1,1,1,10,-,-,-,-,7,9,1.6,0.78,119,84,35,34,13,21,16,401,401,197-116
76,6/20/18,-,TBA,AL,W,5,1,Charlie Morton,R,Nathan Eovaldi,15,15,W,1-Sep,Y,-,-,6,2,1,-,-,4,4,-,-,1,-,9,7,2.74,1.13,95,60,35,17,13,14,16,202,201,69-79
77,6/22/18,-,KCA,AL,L,0,1,Dallas Keuchel,L,Danny Duffy,16,16,---,8-Apr,Y,-,-,6,6,-,-,-,2,6,-,-,-,-,7,11,3.9,1.31,97,61,36,22,12,9,18,174,165,68-60
78,6/23/18,-,KCA,AL,W,4,3,Lance McCullers,R,Ian Kennedy,16,16,---,3-Aug,Y,-,-,6,4,3,3,1,2,9,1,1,-,-,5,8,3.82,1.19,103,63,40,19,15,16,13,74,74,27-19
79,6/24/18,-,KCA,AL,W,11,3,Gerrit Cole,R,Jason Hammel,16,16,W,1-Sep,-,-,-,5,2,1,1,1,3,8,-,-,-,-,4,5,2.56,0.9,104,70,34,27,19,15,9,143,143,68-43
80,6/25/18,-,TOR,AL,L,3,6,Justin Verlander,R,J.A. Happ,17,17,L,3-Sep,-,-,-,6.2,7,4,4,2,2,6,-,-,-,-,6,15,1.82,0.81,110,71,39,21,23,6,21,402,402,197-117
81,6/26/18,-,TOR,AL,W,7,0,Charlie Morton,R,Ryan Borucki,16,16,W,1-Oct,Y,-,-,7,4,-,-,-,2,13,-,-,-,-,5,6,2.54,1.11,97,66,31,18,14,23,11,203,202,70-79
82,6/27/18,-,TOR,AL,W,7,6,Dallas Keuchel,L,Marco Estrada,17,17,---,8-Apr,-,-,-,5.1,7,6,6,-,3,3,-,-,-,-,12,9,4.22,1.34,96,58,38,13,16,8,21,175,166,68-60
83,6/28/18,-,TBA,AL,W,1,0,Lance McCullers,R,Ryne Stanek,17,17,W,3-Sep,Y,-,-,7,3,-,-,-,2,7,-,-,1,-,14,2,3.55,1.15,99,61,38,15,11,19,16,75,75,28-19
84,6/29/18,-,TBA,AL,L,2,3,Gerrit Cole,R,Wilmer Font,17,17,L,2-Sep,Y,-,-,6,5,3,1,-,3,5,-,-,1,-,8,12,2.5,0.92,100,64,36,26,11,7,20,144,144,68-44
85,6/30/18,-,TBA,AL,L,2,5,Justin Verlander,R,Ryne Stanek,18,18,L,4-Sep,Y,-,-,5,9,5,5,-,1,8,-,1,1,-,7,9,2.12,0.86,94,65,29,18,18,13,16,403,403,197-118
86,7/1/18,-,TBA,AL,L,2,3,Charlie Morton,R,Blake Snell,17,17,L,2-Oct,Y,-,-,6.2,6,2,2,-,2,11,1,-,1,-,5,9,2.55,1.11,102,66,36,18,19,15,14,204,203,70-80
87,7/3/18,-,TEX,AL,W,5,3,Dallas Keuchel,L,Austin Bibens-Dirkx,18,18,W,8-May,Y,-,-,7,5,2,2,-,1,7,-,-,-,-,11,8,4.12,1.31,111,74,37,25,23,7,19,176,167,69-60
88,7/4/18,-,TEX,AL,W,5,4,Gerrit Cole,R,Mike Minor,18,18,---,2-Sep,-,-,-,5,8,4,4,1,2,7,1,-,1,-,6,9,2.7,0.97,108,72,36,24,14,19,15,145,145,68-44
89,7/5/18,-,CHA,AL,W,4,3,Justin Verlander,R,Carlos Rodon,19,19,---,4-Sep,Y,-,-,7,4,2,2,1,-,10,-,-,-,-,2,12,2.15,0.84,107,74,33,22,17,21,14,404,404,197-118
90,7/6/18,-,CHA,AL,W,11,4,Lance McCullers,R,Reynaldo Lopez,18,18,W,3-Oct,Y,-,-,7,3,1,1,-,-,12,-,-,1,-,8,3,3.41,1.11,90,59,31,10,17,21,11,76,76,29-19
91,7/7/18,-,CHA,AL,W,12,6,Charlie Morton,R,James Shields,18,18,W,2-Nov,-,-,-,5.2,5,5,5,-,2,8,-,-,-,-,6,9,2.83,1.12,100,65,35,17,21,12,15,205,204,71-80
92,7/8/18,-,CHA,AL,W,2,1,Dallas Keuchel,L,Lucas Giolito,19,19,W,8-Jun,Y,-,-,7,6,1,1,-,3,2,-,-,-,-,17,7,3.95,1.31,103,62,41,13,15,10,24,177,168,70-60
93,7/9/18,-,OAK,AL,L,0,2,Gerrit Cole,R,Frankie Montas,19,19,---,2-Sep,Y,-,-,6,3,-,-,-,3,11,1,-,-,-,3,6,2.57,0.97,108,71,37,20,19,23,9,146,146,68-44
94,7/10/18,-,OAK,AL,W,6,5,Justin Verlander,R,Sean Manaea,20,20,---,4-Sep,Y,-,-,6,3,-,-,-,-,6,-,-,1,-,4,10,2.05,0.83,106,70,36,29,12,15,14,405,405,197-118
95,7/11/18,-,OAK,AL,L,3,8,Lance McCullers,R,Chris Bassitt,19,19,L,4-Oct,-,-,-,4,4,6,6,1,5,1,2,-,2,-,10,6,3.77,1.15,86,47,39,10,15,6,16,77,77,29-20
96,7/12/18,-,OAK,AL,L,4,6,Charlie Morton,R,Trevor Cahill,19,19,---,2-Nov,-,-,-,4.1,6,3,3,-,2,5,-,-,-,-,5,9,2.96,1.15,101,62,39,18,22,8,14,206,205,71-80
97,7/13/18,-,DET,AL,W,3,0,Dallas Keuchel,L,Michael Fiers,20,20,W,8-Jul,Y,-,-,6,6,-,-,-,1,4,-,-,-,-,9,10,3.75,1.3,95,59,36,17,14,9,19,178,169,71-60
98,7/14/18,-,DET,AL,W,9,1,Gerrit Cole,R,Michael Fulmer,20,20,W,2-Oct,-,-,-,5.2,3,1,1,-,4,8,-,-,-,-,3,9,2.52,0.98,104,69,35,25,13,19,12,147,147,69-44
99,7/15/18,-,DET,AL,L,3,6,Justin Verlander,R,Francisco Liriano,21,21,L,5-Sep,-,-,-,6,6,6,5,4,-,12,-,-,-,-,4,8,2.29,0.84,87,63,24,19,13,19,12,406,406,197-119
100,7/20/18,-,ANA,AL,W,3,1,Dallas Keuchel,L,Tyler Skaggs,21,21,W,8-Aug,Y,-,-,7.2,2,1,1,-,1,5,-,-,-,-,7,14,3.6,1.25,102,63,39,13,19,10,21,179,170,72-60
101,7/21/18,-,ANA,AL,W,7,0,Justin Verlander,R,Nick Tropeano,22,22,W,5-Oct,Y,-,-,6,5,-,-,-,2,11,-,-,-,-,5,6,2.19,0.85,90,61,29,15,19,16,11,407,407,198-119
102,7/22/18,-,ANA,AL,L,5,14,Lance McCullers,R,Andrew Heaney,20,20,L,5-Oct,-,-,-,4.1,6,5,5,1,5,3,1,-,-,-,6,8,4.01,1.2,91,54,37,12,18,10,14,78,78,29-21
103,7/24/18,-,COL,NL,W,8,2,Gerrit Cole,R,Tyler Anderson,21,21,---,2-Oct,Y,-,-,6.1,5,2,2,-,1,9,-,-,-,-,5,9,2.54,0.98,101,66,35,22,17,13,14,148,148,69-44
104,7/25/18,-,COL,NL,L,2,3,Charlie Morton,R,Jon Gray,20,20,---,2-Nov,Y,-,-,6,4,1,1,1,4,5,1,-,1,-,10,5,2.89,1.16,102,58,44,19,10,14,15,207,206,71-80
105,7/27/18,-,TEX,AL,L,2,11,Dallas Keuchel,L,Yovani Gallardo,22,22,L,9-Aug,-,-,-,5,6,3,3,1,2,5,-,-,-,-,13,5,3.67,1.26,102,64,38,21,19,6,18,180,171,72-61
106,7/28/18,-,TEX,AL,L,3,7,Justin Verlander,R,Ariel Jurado,23,23,L,6-Oct,-,-,-,5,9,2,2,2,1,7,-,-,-,-,8,8,2.24,0.89,96,66,30,17,19,14,16,408,408,198-120
107,7/29/18,-,TEX,AL,L,3,4,Lance McCullers,R,Mike Minor,21,21,L,6-Oct,-,-,-,5.1,6,4,3,-,-,11,2,-,-,-,6,6,4.06,1.2,91,64,27,14,19,18,13,79,79,29-22
108,7/30/18,-,SEA,AL,L,0,2,Gerrit Cole,R,James Paxton,22,22,L,3-Oct,Y,-,-,6.2,4,2,2,-,2,8,-,-,1,-,6,10,2.55,0.98,100,71,29,21,21,13,16,149,149,69-45
109,7/31/18,-,SEA,AL,W,5,2,Charlie Morton,R,Mike Leake,21,21,W,2-Dec,Y,-,-,6,6,2,2,1,1,8,-,-,-,-,8,7,2.9,1.16,86,55,31,9,19,12,15,208,207,72-80
110,8/1/18,-,SEA,AL,W,8,3,Dallas Keuchel,L,Wade LeBlanc,23,23,W,9-Sep,Y,-,-,7,8,3,3,1,1,2,-,-,-,-,13,12,3.68,1.26,98,71,27,19,23,4,25,181,172,73-61
111,8/3/18,-,LAN,NL,W,2,1,Justin Verlander,R,Alex Wood,24,24,W,6-Nov,Y,-,-,7.2,4,1,1,1,1,14,-,-,-,-,3,12,2.19,0.88,104,75,29,19,23,20,13,409,409,199-120
112,8/4/18,-,LAN,NL,W,14,0,Lance McCullers,R,Kenta Maeda,22,22,---,6-Oct,-,-,-,4,2,-,-,-,2,5,-,-,-,-,2,5,3.93,1.19,60,39,21,11,13,8,7,80,80,29-22
113,8/5/18,-,LAN,NL,L,2,3,Gerrit Cole,R,Walker Buehler,23,23,L,4-Oct,-,-,-,5,6,3,3,-,1,8,-,-,-,-,5,8,2.64,0.99,96,63,33,24,19,7,13,150,150,69-46
114,8/6/18,-,SFN,NL,W,3,1,Charlie Morton,R,Dereck Rodriguez,22,22,---,2-Dec,Y,-,-,7,3,1,1,1,3,8,-,-,-,-,5,10,2.81,1.14,97,64,33,12,26,11,15,209,208,72-80
115,8/7/18,-,SFN,NL,W,2,1,Dallas Keuchel,L,Madison Bumgarner,24,24,---,9-Sep,Y,-,-,6,3,1,1,-,2,5,-,-,1,-,9,7,3.59,1.24,85,49,36,16,12,5,16,182,173,73-61
116,8/9/18,-,SEA,AL,L,6,8,Justin Verlander,R,James Paxton,25,25,L,7-Nov,Y,-,-,2,7,6,6,3,-,2,-,1,-,-,3,8,2.5,0.91,52,34,18,10,7,6,11,410,410,199-121
