Game#,Game Date,Seq,Opp,Lg,Result,Astros Score,Opposing Score,Starting Pitcher,Th,Opposing Pitcher,S-G,S-GS,WL,W-L,QS,CG,SHO,IP,H,R,ER,HR,BB,SO,WP,BK,HB,IBB,GB,FB,ERA,WHIP,Pit,Str,Bal,Fou,Cal,Sw,InPlay,C-G,C-GS,W-L Career
1,3/29/18,-,TEX,AL,W,4,1,Justin Verlander,R,Cole Hamels,1,1,W,Jan-00,Y,-,-,6,4,-,-,-,2,5,-,-,1,-,4,11,0,1,90,52,38,16,12,9,15,386,386,189-114
2,3/30/18,-,TEX,AL,L,1,5,Dallas Keuchel,L,Doug Fister,1,1,L,0-1,Y,-,-,6,7,3,3,1,1,4,1,-,-,-,12,8,4.5,1.33,99,60,39,10,21,9,20,159,150,64-53
3,3/31/18,-,TEX,AL,W,9,3,Lance McCullers,R,Matt Moore,1,1,W,Jan-00,-,-,-,5.1,4,2,2,1,1,10,-,-,-,-,8,2,3.38,0.94,89,58,31,10,23,15,10,59,59,20-16
4,4/1/18,-,TEX,AL,W,8,2,Gerrit Cole,R,Mike Minor,1,1,W,Jan-00,Y,-,-,7,2,1,1,1,3,11,-,-,-,-,1,10,1.29,0.71,102,65,37,13,20,21,11,128,128,60-42
5,4/2/18,-,BAL,AL,W,6,1,Charlie Morton,R,Chris Tillman,1,1,W,Jan-00,Y,-,-,6,3,-,-,-,2,6,-,-,1,-,9,6,0,0.83,91,56,35,9,15,17,15,188,187,61-78
6,4/3/18,-,BAL,AL,W,10,6,Justin Verlander,R,Mike Wright,2,2,---,Jan-00,-,-,-,5.2,6,4,3,2,1,9,-,-,-,-,4,11,2.31,1.11,102,73,29,24,20,14,15,387,387,189-114
7,4/4/18,-,BAL,AL,W,3,2,Dallas Keuchel,L,Dylan Bundy,2,2,---,0-1,-,-,-,5,5,2,1,-,4,3,1,-,-,-,9,8,3.27,1.55,103,60,43,23,11,9,17,160,151,64-53
8,4/6/18,-,SDN,NL,L,1,4,Lance McCullers,R,Luis Perdomo,2,2,L,1-Jan,-,-,-,5,7,3,2,-,3,7,1,-,-,-,9,4,3.48,1.45,89,54,35,10,16,15,13,60,60,20-17
9,4/7/18,-,SDN,NL,W,1,0,Gerrit Cole,R,Bryan Mitchell,2,2,---,Jan-00,Y,-,-,7,5,-,-,-,-,11,1,-,-,-,6,9,0.64,0.71,101,72,29,20,18,19,15,129,129,60-42
10,4/8/18,-,SDN,NL,W,4,1,Charlie Morton,R,Tyson Ross,2,2,W,Feb-00,Y,-,-,6,4,1,-,-,3,7,-,-,1,-,11,5,0,1,99,65,34,15,19,15,16,189,188,62-78
11,4/9/18,-,MIN,AL,W,2,0,Justin Verlander,R,Lance Lynn,3,3,W,Feb-00,Y,-,-,7,4,-,-,-,1,9,1,-,-,-,5,11,1.45,0.96,109,69,40,24,16,13,16,388,388,190-114
12,4/10/18,-,MIN,AL,L,1,4,Dallas Keuchel,L,Jake Odorizzi,3,3,L,0-2,-,-,-,4,6,3,3,-,4,6,-,-,-,-,9,3,4.2,1.8,99,58,41,21,15,10,12,161,152,64-54
13,4/11/18,-,MIN,AL,L,8,9,Lance McCullers,R,Kyle Gibson,3,3,---,1-Jan,-,-,-,3.2,7,8,8,1,6,6,1,-,-,-,6,6,7.71,2,95,48,47,15,12,9,12,61,61,20-17
14,4/13/18,-,TEX,AL,W,3,2,Gerrit Cole,R,Cole Hamels,3,3,---,Jan-00,Y,-,-,7,3,2,2,2,1,14,1,-,1,-,3,7,1.29,0.67,89,63,26,23,18,12,10,130,130,60-42
15,4/14/18,-,TEX,AL,L,5,6,Charlie Morton,R,Mike Minor,3,3,---,Feb-00,Y,-,-,6,6,2,2,2,1,12,-,-,-,-,5,6,1,1.06,106,68,38,17,23,17,11,190,189,62-78
16,4/15/18,-,TEX,AL,L,1,3,Justin Verlander,R,Bartolo Colon,4,4,---,Feb-00,Y,-,-,8,1,1,1,1,1,11,-,-,1,-,4,10,1.35,0.75,100,73,27,18,24,17,14,389,389,190-114
17,4/16/18,-,SEA,AL,L,1,2,Dallas Keuchel,L,James Paxton,4,4,L,0-3,Y,Y,-,8,6,2,2,1,1,6,-,-,-,-,15,9,3.52,1.48,96,62,34,11,20,7,24,162,153,64-55
18,4/17/18,-,SEA,AL,W,4,1,Lance McCullers,R,Ariel Miranda,4,4,W,1-Feb,Y,-,-,7,1,1,1,1,1,11,-,-,-,-,8,3,5.57,1.43,100,67,33,25,17,14,11,62,62,21-17
