Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing,WHIP_Starting,WHIP_Opposing,H9_Starting ,H9_Opposing,HR9_Starting,HR9_Opposing,BB9_Starting,BB9_Opposing,SO9_Starting ,SO9_Opposing,SO/W_Starting,SO/W_Opposing
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1037.17,28.6,3.94,6063,5505,1350,283,29,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,4.12,6.33,0.0,0.0,91.2,123.2,112.0,75.0,4.42,5.55,1.189,1.472,7.7,10.2,1.5,2.0,3.0,3.1,9.4,7.9,3.1,7.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1037.17,28.6,3.94,6063,5505,1350,283,29,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,2.5,4.34,0.0,0.0,212.1,130.2,185.0,110.0,2.64,4.78,0.895,1.3090000000000002,6.0,8.6,1.2,1.4,2.0,3.2,13.8,7.9,6.79,7.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1037.17,28.6,3.94,6063,5505,1350,283,29,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,2.9499999999999997,5.086666666666667,0.0,0.0,138.79999999999998,60.666666666666664,154.66666666666666,91.66666666666667,3.23,5.653333333333333,0.9986666666666667,1.6466666666666665,7.666666666666667,11.299999999999999,0.9,1.8333333333333333,1.3,3.5666666666666664,7.966666666666666,6.666666666666667,6.146666666666667,6.666666666666667
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1614.32,28.8,4.63,6210,5542,1398,252,24,218,537,1458,0.252,0.32299999999999995,0.424,0.747,2352,58,1106,4.12,5.29,0.0,0.0,91.2,85.0,112.0,84.0,4.42,4.18,1.189,1.459,7.7,9.2,1.5,1.6,3.0,3.9,9.4,12.2,3.1,12.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1614.32,28.8,4.63,6210,5542,1398,252,24,218,537,1458,0.252,0.32299999999999995,0.424,0.747,2352,58,1106,2.58,3.62,2.0,0.0,223.0,121.2,179.0,123.0,3.27,3.01,0.8029999999999999,1.1420000000000001,5.5,8.1,1.5,0.9,1.7,2.2,12.1,10.6,7.14,10.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1614.32,28.8,4.63,6210,5542,1398,252,24,218,537,1458,0.252,0.32299999999999995,0.424,0.747,2352,58,1106,2.5,3.72,0.0,0.0,212.1,111.1,185.0,120.0,2.64,3.88,0.895,1.24,6.0,8.2,1.2,1.1,2.0,3.0,13.8,9.5,6.79,9.5
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1614.32,28.8,4.63,6210,5542,1398,252,24,218,537,1458,0.252,0.32299999999999995,0.424,0.747,2352,58,1106,2.9499999999999997,3.986666666666667,0.0,0.0,138.79999999999998,93.76666666666667,154.66666666666666,123.0,3.23,4.616666666666666,0.9986666666666667,1.2989999999999997,7.666666666666667,8.200000000000001,0.9,1.5666666666666664,1.3,3.5,7.966666666666666,9.233333333333334,6.146666666666667,9.233333333333334
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.12,3.51,0.0,0.0,91.2,159.0,112.0,129.0,4.42,3.36,1.189,1.208,7.7,7.9,1.5,0.9,3.0,3.0,9.4,10.1,3.1,10.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,3.98,4.01,0.0,0.0,167.1,146.0,116.0,113.0,4.51,4.02,1.345,1.158,8.8,8.7,1.2,1.4,3.3,1.7,7.5,8.6,2.3,8.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.58,6.39,2.0,0.0,223.0,25.1,179.0,72.0,3.27,6.06,0.8029999999999999,1.4609999999999999,5.5,10.3,1.5,1.8,1.7,2.8,12.1,3.6,7.14,3.6
