Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing,WHIP_Starting,WHIP_Opposing,H9_Starting ,H9_Opposing,HR9_Starting,HR9_Opposing,BB9_Starting,BB9_Opposing,SO9_Starting ,SO9_Opposing,SO/W_Starting,SO/W_Opposing
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.9499999999999997,6.42,0.0,0.0,138.79999999999998,82.2,154.66666666666666,72.0,3.23,6.23,0.9986666666666667,1.44,7.666666666666667,10.0,0.9,2.6,1.3,2.9,7.966666666666666,8.2,6.146666666666667,8.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.03,0.0,0.0,167.1,39.1,116.0,92.0,4.51,4.59,1.345,1.3730000000000002,8.8,8.0,1.2,1.4,3.3,4.3,7.5,9.6,2.3,9.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,2.75,2.0,0.0,223.0,19.2,179.0,171.0,3.27,6.88,0.8029999999999999,1.4240000000000002,5.5,7.8,1.5,2.3,1.7,5.0,12.1,5.9,7.14,5.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,6.42,0.0,0.0,167.1,82.2,116.0,72.0,4.51,6.23,1.345,1.44,8.8,10.0,1.2,2.6,3.3,2.9,7.5,8.2,2.3,8.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,5.03,0.0,0.0,41.0,39.1,118.0,92.0,3.68,4.59,1.0979999999999999,1.3730000000000002,8.3,8.0,1.3,1.4,1.5,4.3,8.8,9.6,5.71,9.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,7.11,2.0,0.0,223.0,81.0,179.0,65.0,3.27,6.72,0.8029999999999999,1.642,5.5,11.1,1.5,2.6,1.7,3.7,12.1,8.0,7.14,8.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,5.38,0.0,0.0,212.1,72.0,185.0,86.0,2.64,6.23,0.895,1.5419999999999998,6.0,10.6,1.2,2.3,2.0,3.3,13.8,6.9,6.79,6.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2012.74,28.4,3.84,6034,5507,1317,242,15,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,2.5,5.61,0.0,0.0,212.1,110.2,185.0,83.0,2.64,6.2,0.895,1.3730000000000002,6.0,10.2,1.2,2.4,2.0,2.1,13.8,5.4,6.79,5.4
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2012.74,28.4,3.84,6034,5507,1317,242,15,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,5.86,4.903333333333333,0.0,0.0,70.2,99.76666666666667,79.0,100.33333333333333,4.98,4.766666666666667,1.67,1.3873333333333333,9.4,8.766666666666667,1.1,1.1333333333333335,5.6,3.7000000000000006,8.7,6.566666666666666,1.55,6.566666666666666
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2012.74,28.4,3.84,6034,5507,1317,242,15,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,3.98,4.79,0.0,0.0,167.1,161.2,116.0,98.0,4.51,4.73,1.345,1.355,8.8,9.0,1.2,1.6,3.3,3.2,7.5,9.0,2.3,9.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2012.74,28.4,3.84,6034,5507,1317,242,15,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,3.98,4.79,0.0,0.0,167.1,161.2,116.0,98.0,4.51,4.73,1.345,1.355,8.8,9.0,1.2,1.6,3.3,3.2,7.5,9.0,2.3,9.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2012.74,28.4,3.84,6034,5507,1317,242,15,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,5.593333333333334,5.613333333333333,0.0,0.0,87.16666666666667,73.10000000000001,83.0,80.33333333333333,5.62,5.416666666666667,1.5133333333333334,1.375333333333333,9.066666666666666,9.633333333333333,1.6666666666666667,1.7333333333333332,4.566666666666666,2.766666666666667,7.833333333333333,6.766666666666667,1.7166666666666668,6.766666666666667
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2012.74,28.4,3.84,6034,5507,1317,242,15,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,2.58,4.92,2.0,0.0,223.0,82.1,179.0,95.0,3.27,5.3,0.8029999999999999,1.3119999999999998,5.5,8.7,1.5,1.9,1.7,3.1,12.1,8.7,7.14,8.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,2.5,5.52,0.0,0.0,212.1,174.1,185.0,87.0,2.64,4.76,0.895,1.3940000000000001,6.0,10.2,1.2,1.6,2.0,2.3,13.8,7.4,6.79,7.4
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,5.59,5.43,0.0,0.0,19.1,56.1,84.0,89.0,8.49,4.74,1.81,1.527,10.7,9.3,3.7,1.1,5.6,4.5,8.8,7.8,1.58,7.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,3.98,4.4,0.0,1.0,167.1,147.1,116.0,109.0,4.51,3.39,1.345,1.0859999999999999,8.8,7.5,1.2,1.5,3.3,2.3,7.5,13.3,2.3,13.3
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,3.98,4.4,0.0,1.0,167.1,147.1,116.0,109.0,4.51,3.39,1.345,1.0859999999999999,8.8,7.5,1.2,1.5,3.3,2.3,7.5,13.3,2.3,13.3
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,4.12,4.28,0.0,0.0,91.2,107.1,112.0,113.0,4.42,3.62,1.189,1.314,7.7,9.1,1.5,1.3,3.0,2.7,9.4,10.7,3.1,10.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,2.58,3.81,2.0,0.0,223.0,203.1,179.0,126.0,3.27,3.86,0.8029999999999999,1.328,5.5,8.6,1.5,1.1,1.7,3.3,12.1,9.4,7.14,9.4
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,4.12,4.58,0.0,0.0,91.2,19.2,112.0,102.0,4.42,4.38,1.189,1.271,7.7,7.8,1.5,1.4,3.0,3.7,9.4,9.2,3.1,9.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.58,7.98,2.0,0.0,223.0,58.2,179.0,58.0,3.27,6.06,0.8029999999999999,1.756,5.5,11.5,1.5,1.8,1.7,4.3,12.1,6.3,7.14,6.3
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.5,4.72,0.0,2.0,212.1,187.0,185.0,97.0,2.64,4.98,0.895,1.455,6.0,10.8,1.2,1.4,2.0,2.3,13.8,5.5,6.79,5.5
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,5.59,3.41,0.0,3.0,19.1,176.2,84.0,134.0,8.49,3.43,1.81,1.064,10.7,6.7,3.7,1.2,5.6,2.9,8.8,11.6,1.58,11.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.9499999999999997,5.79,0.0,0.0,138.79999999999998,73.0,154.66666666666666,79.0,3.23,5.19,0.9986666666666667,1.548,7.666666666666667,9.6,0.9,1.8,1.3,4.3,7.966666666666666,10.0,6.146666666666667,10.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,4.83,4.72,0.0,2.0,69.0,187.0,96.0,97.0,4.62,4.98,1.304,1.455,9.0,10.8,1.7,1.4,2.7,2.3,9.4,5.5,3.43,5.5
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,3.98,6.59,0.0,0.0,167.1,69.2,116.0,70.0,4.51,6.92,1.345,1.6219999999999999,8.8,11.1,1.2,2.6,3.3,3.5,7.5,5.9,2.3,5.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1522.98,27.2,4.67,6369,5624,1453,286,34,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,2.5,3.81,0.0,0.0,212.1,141.2,185.0,114.0,2.64,4.09,0.895,1.391,6.0,9.0,1.2,1.1,2.0,3.6,13.8,9.1,6.79,9.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1522.98,27.2,4.67,6369,5624,1453,286,34,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,5.59,4.46,0.0,0.0,19.1,171.2,84.0,98.0,8.49,4.26,1.81,1.4969999999999999,10.7,10.7,3.7,1.4,5.6,2.7,8.8,8.7,1.58,8.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1522.98,27.2,4.67,6369,5624,1453,286,34,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,3.98,3.46,0.0,1.0,167.1,177.0,116.0,126.0,4.51,3.61,1.345,1.13,8.8,8.5,1.2,1.0,3.3,1.6,7.5,7.6,2.3,7.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,27.2,4.3,6240,5532,1404,251,25,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,3.98,3.4,0.0,0.0,167.1,190.2,116.0,137.0,4.51,3.7,1.345,1.143,8.8,6.6,1.2,1.0,3.3,3.7,7.5,10.7,2.3,10.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,27.2,4.3,6240,5532,1404,251,25,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,2.58,3.89,2.0,0.0,223.0,166.2,179.0,120.0,3.27,4.43,0.8029999999999999,1.2,5.5,8.2,1.5,1.6,1.7,2.6,12.1,9.0,7.14,9.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1439.67,27.2,4.3,6240,5532,1404,251,25,172,559,1376,0.254,0.32799999999999996,0.401,0.7290000000000001,2221,65,1179,2.5,5.14,0.0,0.0,212.1,129.2,185.0,91.0,2.64,4.66,0.895,1.311,6.0,9.4,1.2,1.7,2.0,2.4,13.8,9.0,6.79,9.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1794.85,29.4,5.05,6300,5595,1447,297,19,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,2.5,4.886666666666667,0.0,0.6666666666666666,212.1,141.76666666666668,185.0,101.66666666666667,2.64,4.446666666666666,0.895,1.2703333333333333,6.0,8.066666666666666,1.2,1.5333333333333332,2.0,3.3666666666666667,13.8,10.733333333333333,6.79,10.733333333333333
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1794.85,29.4,5.05,6300,5595,1447,297,19,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,4.7,5.8,0.0,0.0,74.2,35.2,99.0,83.0,4.43,4.06,1.232,1.6540000000000001,7.5,11.1,1.4,1.0,3.6,3.8,9.9,9.6,2.73,9.6
