Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.12,3.51,1.19,1.21,91.2,159.0,96.0,178.0,15.0,16.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,3.98,4.01,1.34,1.16,167.1,146.0,140.0,140.0,23.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.58,6.39,0.8,1.46,223.0,25.1,300.0,10.0,36.0,5.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.58,3.51,0.8,1.21,223.0,159.0,300.0,178.0,36.0,16.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.5,4.01,0.89,1.16,212.1,146.0,326.0,140.0,29.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.7,5.12,1.23,1.52,74.2,165.1,82.0,135.0,12.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.12,3.68,1.19,1.22,91.2,200.1,96.0,195.0,15.0,26.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.58,4.45,0.8,1.24,223.0,182.0,300.0,149.0,36.0,28.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.5,4.55,0.89,1.48,212.1,31.2,326.0,37.0,29.0,6.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,4.7,3.82,1.23,1.28,74.2,150.2,82.0,186.0,12.0,23.0
