Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,2.5,5.61,0.89,1.37,212.1,110.2,326.0,67.0,29.0,29.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,5.86,5.015000000000001,1.67,1.405,70.2,74.65,68.0,54.0,9.0,9.5
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,3.98,4.79,1.34,1.35,167.1,161.2,140.0,162.0,23.0,29.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,3.98,4.79,1.34,1.35,167.1,161.2,140.0,162.0,23.0,29.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,5.445,5.595,1.46,1.37,65.2,54.650000000000006,57.5,41.0,10.0,10.5
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,2.58,4.92,0.8,1.31,223.0,82.1,300.0,80.0,36.0,17.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2578.08,5.41,6302,5623,1509,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,2.5,5.52,0.89,1.39,212.1,174.1,326.0,143.0,29.0,31.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2578.08,5.41,6302,5623,1509,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,5.59,5.43,1.81,1.53,19.1,56.1,19.0,49.0,8.0,7.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2578.08,5.41,6302,5623,1509,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,3.98,4.4,1.34,1.09,167.1,147.1,140.0,218.0,23.0,24.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2578.08,5.41,6302,5623,1509,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,3.98,4.4,1.34,1.09,167.1,147.1,140.0,218.0,23.0,24.0
